experiment_id,date,config,change,reason,local_score,public_score,rank,submission_file,insight
local_retrieval_v1,2026-06-02,configs/local_retrieval.yaml,TF-IDF char n-gram nearest-answer retrieval,Establishes a complete local CPU baseline and valid submission workflow,0.425158,,,outputs/local_retrieval/submission.csv,Full local run completed without GPU; use as reproducible baseline before neural experiments
local_retrieval_subset_v1,2026-06-02,configs/local_retrieval_subset.yaml,Restrict retrieval candidates to matching subset/language-domain,Test whether language/domain gating improves nearest-answer retrieval,0.417419,,,outputs/local_retrieval_subset/submission.csv,Subset gating reduced validation proxy score; keep global retrieval as current best local baseline
local_retrieval_char24_v1,2026-06-02,configs/local_retrieval_char24.yaml,Switch retrieval to raw character 2-4 n-grams with sublinear TF and min_df=2,Validation sweep over 120 TF-IDF candidates found shorter raw character n-grams perform best,0.439064,,,outputs/local_retrieval_char24/submission.csv,Current best local CPU baseline; submission format validated with 2618 test rows
local_retrieval_ensemble_v1,2026-06-02,configs/local_retrieval_ensemble.yaml,Weighted voting ensemble over top TF-IDF retrieval variants,Test whether agreement between high-performing retrievers improves answer selection,0.438439,,,outputs/local_retrieval_ensemble/submission.csv,Ensemble scored slightly below single best char24 config; keep local_retrieval_char24 as current best
postprocess_trim_sweep_v1,2026-06-02,outputs/postprocess_sweep/char24_postprocess_results.csv,Validation-only sweep over max-word and first-sentence trimming,Test whether long retrieved answers are hurting ROUGE and should be shortened,0.438751,,,outputs/local_retrieval_char24/submission.csv,Best trim rule max_words=300 still underperformed no trimming at 0.439064; keep full retrieved answers
topk_length_rerank_v1,2026-06-02,outputs/rerank_sweep/length_penalty_results.csv,Validation-only top-5 candidate reranking with answer-length penalties,Test whether nearest answer should be replaced by length-calibrated alternatives,0.433016,,,outputs/local_retrieval_char24/submission.csv,Length-penalized reranking underperformed current best; top cosine similarity remains strongest local selector
local_retrieval_char13_v1,2026-06-02,configs/local_retrieval_char13.yaml,Raw character 1-3 n-gram retrieval with min_df=5 and sublinear TF,Extended local sweep over 48 candidates showed shorter character grams improve validation proxy,0.442080,,,outputs/local_retrieval_char13/submission.csv,New best local CPU retrieval candidate; 100k and 200k feature caps tied so 100k was kept for efficiency
local_retrieval_subset_tuned_v1,2026-06-02,configs/local_retrieval_subset_tuned.yaml,Subset-specific vectorizer selection over a global retrieval bank,Use validation subset deltas to route English Ghana/Kenya/Uganda through char13 and other subsets through char24,0.443746,,,outputs/local_retrieval_subset_tuned/submission.csv,New best local candidate; subset-specific config switching helped without restricting retrieval candidates
local_retrieval_subset_sweep_v1,2026-06-02,configs/local_retrieval_subset_sweep.yaml,Per-subset routing table selected from 12 retrieval candidates,Choose the highest-scoring vectorizer per validation subset while keeping a global answer bank,0.444926,,,outputs/local_retrieval_subset_sweep/submission.csv,New best local candidate; gains came from char14 for Akan/Luganda char25 for English Ethiopia and char13 for English Kenya/Uganda/Ghana
